2021-03-09T13:02:24.830 | ONLINE#Lars
2021-03-09T13:02:24.838 | Lars has joined the server!
2021-03-09T13:02:47.969 | ONLINE#Lars
2021-03-09T13:02:54.329 | Lars logged out.
2021-03-09T13:02:54.329 | ONLINE#*eerie silence*
2021-03-09T13:03:18.453 | ONLINE#Lars
2021-03-09T13:03:18.453 | Lars has joined the server!
2021-03-09T13:03:25.432 | Lars logged out.
2021-03-09T13:03:25.433 | ONLINE#*eerie silence*
2021-03-09T13:06:29.668 | ONLINE#Lars
2021-03-09T13:06:29.677 | Lars has joined the server!
2021-03-09T13:07:01.136 | ONLINE#Lars
2021-03-09T13:07:04.951 | Lars logged out.
2021-03-09T13:07:04.951 | ONLINE#*eerie silence*
2021-03-09T13:07:42.589 | ONLINE#Lars
2021-03-09T13:07:42.589 | Lars has joined the server!
2021-03-09T13:08:06.094 | MESSAGE#Lars#DFGGFJHHAGHS
2021-03-09T13:08:21.387 | Lars logged out.
2021-03-09T13:08:21.387 | ONLINE#*eerie silence*
